candidate_id,candidate_label,caution_level,sensitivity_only,validation_layer,split_id,repeat_id,fold_id,n_assessment,base_log_loss,uncertainty_log_loss,base_bal_accuracy,uncertainty_bal_accuracy,determinate_rate,indeterminate_rate,final_class_changed_rate,any_flip_rate,base_to_indeterminate_rate,boundary_cross_rate,mean_switch_rate,median_switch_rate,mean_abs_top_prob_shift,top_prob_shift_gt_0_05_rate
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat10__Fold2,Repeat10,Fold2,12,0.4339134451099081,0.43959759234899576,0.9285714285714286,0.9285714285714286,0.8333333333333334,0.16666666666666666,0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.06216666666666666,0.012,0.009834721787706318,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat10__Fold3,Repeat10,Fold3,11,0.44766192972505275,0.45560361510145103,0.875,0.875,0.9090909090909091,0.09090909090909091,0,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.04436363636363637,0.0020000000000000018,0.006223708249688492,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat10__Fold4,Repeat10,Fold4,11,0.6178680200102487,0.6112851831223839,0.6071428571428572,0.6071428571428572,0.8181818181818182,0.18181818181818182,0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.09509090909090909,0.008000000000000007,0.012300383085428388,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat10__Fold5,Repeat10,Fold5,10,0.5209215215378364,0.5220790216125798,0.6666666666666667,0.6666666666666667,0.9,0.1,0,0.6,0.1,0.1,0.04460000000000001,0.016,0.005490442643044824,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold1,NA,Fold1,12,0.5342893765002816,0.5364182562518892,0.625,0.625,0.9166666666666666,0.08333333333333333,0,0.5,0.08333333333333333,0.08333333333333333,0.023666666666666676,0.0040000000000000036,0.002990108537633716,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold2,NA,Fold2,11,0.5196309363017912,0.5226203344290257,0.625,0.625,0.8181818181818182,0.18181818181818182,0,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.054000000000000006,0,0.004317602300157006,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold3,NA,Fold3,11,0.6199184039460454,0.6177105730795707,0.5535714285714286,0.5535714285714286,0.9090909090909091,0.09090909090909091,0,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.02690909090909092,0.0020000000000000018,0.005965883611129213,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold4,NA,Fold4,11,0.5251364978195999,0.5231050130008236,0.6166666666666667,0.6166666666666667,0.6363636363636364,0.36363636363636365,0,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.136,0.014000000000000012,0.012062182923428009,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,blocked_coordinate_cv,Fold5,NA,Fold5,11,0.5638756180634225,0.5669747891269779,0.8166666666666667,0.8166666666666667,0.6363636363636364,0.36363636363636365,0,0.7272727272727273,0.36363636363636365,0.36363636363636365,0.12945454545454546,0.062000000000000055,0.0074578747376457585,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,repeated_stratified_cv,Repeat01__Fold1,Repeat01,Fold1,12,0.4338194173800264,0.4410926292312559,0.9,0.9,0.75,0.25,0,0.5,0.25,0.25,0.117,0.0020000000000000018,0.011662513974850252,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,repeated_stratified_cv,Repeat01__Fold2,Repeat01,Fold2,12,0.5744966950330817,0.5775504715261474,0.5,0.5,0.9166666666666666,0.08333333333333333,0,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.043000000000000003,0,0.003360710390012632,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,repeated_stratified_cv,Repeat01__Fold3,Repeat01,Fold3,11,0.44149907277004524,0.4443455211236022,0.6785714285714286,0.6785714285714286,0.7272727272727273,0.2727272727272727,0,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.07381818181818181,0,0.00935789265717331,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,repeated_stratified_cv,Repeat01__Fold4,Repeat01,Fold4,11,0.730701237804794,0.7291051150739972,0.6071428571428572,0.6071428571428572,0.8181818181818182,0.18181818181818182,0,0.8181818181818182,0.18181818181818182,0.18181818181818182,0.05654545454545455,0.020000000000000018,0.005200375353288605,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,repeated_stratified_cv,Repeat01__Fold5,Repeat01,Fold5,10,0.7116194667056253,0.6989768087373587,0.4166666666666667,0.4166666666666667,0.8,0.2,0,0.4,0.2,0.2,0.06460000000000002,0,0.01354452607782768,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_high_caution_tertiary_sensitivity,TRUE,repeated_stratified_cv,Repeat02__Fold1,Repeat02,Fold1,12,0.42146406716847296,0.4300314150298439,0.7285714285714285,0.7285714285714285,0.75,0.25,0,0.3333333333333333,0.25,0.25,0.0955,0,0.009388168090633125,0
