candidate_id,candidate_label,caution_level,sensitivity_only,validation_layer,split_id,repeat_id,fold_id,ring,coord_group,longitude_capture,latitude_capture,truth,base_prob_migrant,base_class,uncertainty_prob_migrant_mean,uncertainty_prob_migrant_sd,uncertainty_prob_migrant_q10,uncertainty_prob_migrant_q90,uncertainty_class,class_support,prop_migrant_draws,any_draw_class_flip,switch_rate_from_base,top_prob_base,top_prob_mean,top_prob_abs_shift,boundary_crosses,indeterminate,operational_call,final_class_changed
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP19314,"170.144119,-43.736765",170.144119,-43.736765,migrant,0.6889951124595106,migrant,0.6875631034662626,0.057040309715880075,0.6087984527709408,0.7625628767953823,migrant,1,1,FALSE,0,0.6889951124595106,0.6875631034662626,0.001432008993248024,FALSE,FALSE,NA,FALSE
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP19368,"173.0307,-41.11812",173.0307,-41.11812,migrant,0.8632935476274655,migrant,0.8607934073486468,0.03385497859838678,0.8136822296152625,0.9004241026119063,migrant,1,1,FALSE,0,0.8632935476274655,0.8607934073486468,0.002500140278818619,FALSE,FALSE,NA,FALSE
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP19371,"173.031797,-41.120263",173.031797,-41.120263,resident,0.49665812648645363,resident,0.4974701176243933,0.04677419186046504,0.43824363179962167,0.557977615649201,resident,0.522,0.478,TRUE,0.478,0.5033418735135464,0.537776382582959,0.03443450906941259,TRUE,TRUE,indeterminate,FALSE
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP19923,"168.433515,-46.606197",168.433515,-46.606197,resident,0.36934249641065503,resident,0.3845953171249766,0.03427396495596614,0.34692028892375754,0.4355897640452984,resident,0.996,0.004,TRUE,0.004,0.6306575035893449,0.6154206294344883,0.015236874154856639,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16140,"173.667221,-42.413402",173.667221,-42.413402,migrant,0.7149930619033968,migrant,0.7147450252689106,0.054414495323868065,0.6448865656234941,0.7824642826653466,migrant,1,1,FALSE,0,0.7149930619033968,0.7147450252689106,2.4803663448624835e-4,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16501,"173.031797,-41.120263",173.031797,-41.120263,resident,0.45956508260748363,resident,0.45780139561353866,0.06015413246005322,0.37485153195796034,0.5376713265841594,resident,0.764,0.236,TRUE,0.236,0.5404349173925164,0.5605648595735884,0.020129942181072003,TRUE,TRUE,indeterminate,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16529,"170.48481,-43.880201",170.48481,-43.880201,migrant,0.8538815691447486,migrant,0.8498163820669137,0.032010129273369305,0.8109534584470939,0.8885884169098239,migrant,1,1,FALSE,0,0.8538815691447486,0.8498163820669137,0.004065187077834875,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16533,"170.143316,-43.733096",170.143316,-43.733096,migrant,0.7764444635991272,migrant,0.7712568370772744,0.0440592542714289,0.7156514513765128,0.826419500813147,migrant,1,1,FALSE,0,0.7764444635991272,0.7712568370772744,0.005187626521852784,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16609,"173.667221,-42.413402",173.667221,-42.413402,migrant,0.464637759517836,resident,0.46210162082533823,0.06422767556088327,0.3769943414248595,0.547524216412258,resident,0.708,0.292,TRUE,0.292,0.5353622404821641,0.5605837765408171,0.02522153605865307,TRUE,TRUE,indeterminate,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16652,"173.031797,-41.120263",173.031797,-41.120263,resident,0.41080192574035335,resident,0.422529987586892,0.047939760759317294,0.36811945344457797,0.4882420986998609,resident,0.928,0.072,TRUE,0.072,0.5891980742596467,0.5820831999907867,0.007114874268859928,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP16945,"175.702629005536,-39.379794029519",175.702629005536,-39.379794029519,migrant,0.9369543878321536,migrant,0.9356484305823918,0.015525978692623883,0.9136793741195336,0.954005013282925,migrant,1,1,FALSE,0,0.9369543878321536,0.9356484305823918,0.001305957249761791,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP19314,"170.144119,-43.736765",170.144119,-43.736765,migrant,0.7203248198603686,migrant,0.7179985932626567,0.051530241247603366,0.6507446190630491,0.7813516950230047,migrant,1,1,FALSE,0,0.7203248198603686,0.7179985932626567,0.002326226597711867,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP19368,"173.0307,-41.11812",173.0307,-41.11812,migrant,0.8286049175096044,migrant,0.8254362829349485,0.03311983368148902,0.783246869622965,0.8635883109634757,migrant,1,1,FALSE,0,0.8286049175096044,0.8254362829349485,0.003168634574655882,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,CP19371,"173.031797,-41.120263",173.031797,-41.120263,resident,0.5645840625780556,migrant,0.5677469452211584,0.06502312150506698,0.48293077889332103,0.6504646686063487,migrant,0.838,0.838,TRUE,0.16200000000000003,0.5645840625780556,0.577889854207228,0.013305791629172448,TRUE,TRUE,indeterminate,FALSE
