validation_layer,ring,truth,base_prob_migrant,uncertainty_prob_migrant_mean,uncertainty_prob_migrant_q10,uncertainty_prob_migrant_q90,class_support,boundary_crosses,indeterminate,operational_call,switch_rate_from_base,top_prob_abs_shift
repeated_stratified_cv,CP16643,migrant,0.5760403597738177,0.574527652862328,0.5084471575826387,0.649023571590854,0.92,FALSE,FALSE,NA,0.07999999999999996,0.00235364605042198
repeated_stratified_cv,CP16652,resident,0.353535701122115,0.36696104465965534,0.3262535845771772,0.4157898194286372,1,FALSE,FALSE,NA,0,0.01342534353754054
repeated_stratified_cv,CP16667,migrant,0.5646829689429617,0.5653420768288722,0.4969610792668024,0.632537128926274,0.894,TRUE,TRUE,indeterminate,0.10599999999999998,0.00551403965620167
repeated_stratified_cv,CP16693,migrant,0.3142942385975375,0.33345918711882316,0.3012396585136519,0.3757103165196912,1,FALSE,FALSE,NA,0,0.01916494852128558
repeated_stratified_cv,CP16784,resident,0.45739004883520584,0.4608130875534452,0.4025648254110292,0.5175647547715975,0.8180000000000001,TRUE,TRUE,indeterminate,0.182,0.00625822804757847
repeated_stratified_cv,CP19311,migrant,0.4500674512093011,0.4532265135380318,0.3901377888946123,0.5240746500760072,0.8140000000000001,TRUE,TRUE,indeterminate,0.186,0.00887570059352382
repeated_stratified_cv,CP19314,migrant,0.6390361272698805,0.6407518953301327,0.567865452187714,0.7193327724848038,0.996,FALSE,FALSE,NA,0.004,0.00185738817006331
repeated_stratified_cv,04258275,migrant,0.47421683140820414,0.4777719579047136,0.391517856716491,0.5598667134482349,0.614,TRUE,TRUE,indeterminate,0.386,0.02994040563450883
repeated_stratified_cv,CP16529,migrant,0.8611256403019913,0.8587989363758932,0.8118177669442753,0.9001927840356037,1,FALSE,FALSE,NA,0,0.00232670392609812
repeated_stratified_cv,CP16628,resident,0.46523068242641497,0.46603289534165254,0.386407469812862,0.5501905626588135,0.726,TRUE,TRUE,indeterminate,0.274,0.02247366329816269
repeated_stratified_cv,CP16656,migrant,0.8927607767103886,0.8894666692961816,0.8513803633706107,0.9234873398255878,1,FALSE,FALSE,NA,0,0.00329410741420699
repeated_stratified_cv,CP19360,migrant,0.36712948110575966,0.3859651099811692,0.3274289460928765,0.4477615789727769,0.966,FALSE,FALSE,NA,0.034,0.01729106771259625
repeated_stratified_cv,CP19361,resident,0.41904397459864,0.4235199982153934,0.35755075978909995,0.5010319269231764,0.896,TRUE,TRUE,indeterminate,0.104,0.00182189567697177
repeated_stratified_cv,CP19365,migrant,0.8289755702766047,0.8247817496218705,0.775635253020131,0.8685157629438974,1,FALSE,FALSE,NA,0,0.00419382065473428
repeated_stratified_cv,CP19907,resident,0.5147343257105222,0.5177599083508153,0.4364972127232065,0.60326371258071,0.592,TRUE,TRUE,indeterminate,0.408,0.03787518001086942
repeated_stratified_cv,CP19915,migrant,0.692884505683705,0.6943360522568411,0.6223223381387846,0.7628732007689543,0.996,FALSE,FALSE,NA,0.004,0.00155914338126417
repeated_stratified_cv,CP19983,resident,0.6558944559586442,0.6560342965427834,0.5729754642597739,0.7391243417013258,0.99,FALSE,FALSE,NA,0.01,6.462276326753003e-4
repeated_stratified_cv,CP16409,resident,0.49522328318580455,0.5064930582232604,0.4940170764828318,0.5221380582018365,0.636,TRUE,TRUE,indeterminate,0.636,0.00465551315330559
repeated_stratified_cv,CP16507,resident,0.5111204539682308,0.5135350064907241,0.4964532785925407,0.5354414193699213,0.784,TRUE,TRUE,indeterminate,0.21599999999999997,0.00396972024626818
repeated_stratified_cv,CP16609,migrant,0.5513537260398818,0.5519325216076207,0.5313670150368452,0.5719165939920153,1,FALSE,FALSE,NA,0,5.787955677389878e-4
repeated_stratified_cv,CP16656,migrant,0.782025348691233,0.7808049387338342,0.7459467596102459,0.8160990731546145,1,FALSE,FALSE,NA,0,0.0012204099573988
repeated_stratified_cv,CP16945,migrant,0.8432624674831265,0.8418458792690182,0.8171074747557594,0.8642155466699915,1,FALSE,FALSE,NA,0,0.00141658821410828
repeated_stratified_cv,CP16953,migrant,0.9259692829483596,0.925410017577128,0.912673713035343,0.9389049454505852,1,FALSE,FALSE,NA,0,5.5926537123141e-4
repeated_stratified_cv,CP16958,migrant,0.6300324287861512,0.6307275257041602,0.6005174544279364,0.6626890474504739,1,FALSE,FALSE,NA,0,6.950969180090638e-4
repeated_stratified_cv,CP17011,migrant,0.6709945656453551,0.6685796096247766,0.6278425950989616,0.7115574049693686,1,FALSE,FALSE,NA,0,0.0024149560205785
repeated_stratified_cv,CP19361,resident,0.5267611671927054,0.5285949560464912,0.5110317516213793,0.5492094925582847,1,FALSE,FALSE,NA,0,0.00183378885378582
repeated_stratified_cv,CP19368,migrant,0.7587966370029182,0.7591136565519243,0.7207574899051247,0.7947883984521718,1,FALSE,FALSE,NA,0,3.170195490060923e-4
repeated_stratified_cv,CP19371,resident,0.5573771282983656,0.5580718689042168,0.5352354426723872,0.582780946862106,1,FALSE,FALSE,NA,0,6.94740605851174e-4
repeated_stratified_cv,CP19922,resident,0.5063563033156289,0.5108402485291696,0.4949708587259263,0.5286299642407459,0.738,TRUE,TRUE,indeterminate,0.262,0.00663831380625401
repeated_stratified_cv,04258275,migrant,0.5180013193892536,0.5178299244630834,0.47030568257454675,0.5634221234848091,0.678,TRUE,TRUE,indeterminate,0.32199999999999995,0.01422991480121926
repeated_stratified_cv,CP16140,migrant,0.6716905397355386,0.6703970294732794,0.6227403853080845,0.7191002051829926,1,FALSE,FALSE,NA,0,0.00129351026225921
repeated_stratified_cv,CP16534,migrant,0.8396522615548999,0.8377712077797967,0.8108861900736826,0.8649679376017922,1,FALSE,FALSE,NA,0,0.00188105377510316
repeated_stratified_cv,CP16536,migrant,0.8118686799510332,0.8097491443561164,0.7776123203639411,0.8406014185439972,1,FALSE,FALSE,NA,0,0.00211953559491673
repeated_stratified_cv,CP16693,migrant,0.4219456583752227,0.4350844905345896,0.4081496900507281,0.4701438769160931,0.982,FALSE,FALSE,NA,0.018,0.01266191078911338
repeated_stratified_cv,CP16784,resident,0.5367788522710186,0.5362599917812163,0.4854500067632425,0.5853490073313307,0.828,TRUE,TRUE,indeterminate,0.17200000000000004,0.00647636908982984
repeated_stratified_cv,CP19312,migrant,0.7920543190270273,0.7904338518612689,0.7552382308539697,0.8241872425342994,1,FALSE,FALSE,NA,0,0.00162046716575836
repeated_stratified_cv,CP19346,resident,0.5339426321969137,0.5341721764427767,0.4898049476846215,0.5818942601781232,0.848,TRUE,TRUE,indeterminate,0.15200000000000002,0.00710516391305904
repeated_stratified_cv,CP19908,resident,0.5175759763943761,0.5164383746638241,0.47127365981817654,0.5601109976917832,0.68,TRUE,TRUE,indeterminate,0.31999999999999995,0.01306674856489886
repeated_stratified_cv,CP19915,migrant,0.6462099075769776,0.6487445122459583,0.601203671330236,0.6949612782532364,1,FALSE,FALSE,NA,0,0.0025346046689807
repeated_stratified_cv,CP19921,resident,0.4652528366832403,0.4687441394578362,0.42316944894321434,0.5148635089436364,0.806,TRUE,TRUE,indeterminate,0.194,0.00406287913821956
