comparison_subset_id,extension_target,ring,sampling_site_label,sampling_location_specific,sampling_location_general,longitude_capture,latitude_capture,status,status_bin,status_rung2_3class,status_au_non_au,sex,tag_id_adjusted,migratory_status_comment,normalised_d13c_Breast,normalised_d15n_Breast,normalised_d2h_Breast,source_phenotype_row_ids,source_measurement_ids_Breast,source_measurement_ids_model_Breast
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19361,Motueka Spit,"Motueka Spit, Tasman Bay","South Island, New Zealand",173.033468,-41.123473,resident,resident,resident,non_AU,M,266469,PTT revealed that the bird remained at Motueka Spit the full year,-13.9185362373694,13.103579897515,-21.3772879516674,live_pheno_082|live_pheno_104,live_measurement_0235|live_measurement_0236|live_measurement_0425,live_measurement_0235|live_measurement_0236|live_measurement_0425
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19365,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.143352,-43.73679,AU migrant,migrant,AU migrant,AU,F,266434,PTT revealed this bird leaving Tasman Valley to stage at Loganburn Reservoir (Central Otago) from mid-Jan to mid-April before migrating to inland South Australia (near Lake Hawdon),-23.3101243339637,11.322927655372,15.6787653351278,live_pheno_015|live_pheno_032,live_measurement_0313|live_measurement_0314|live_measurement_0427,live_measurement_0313|live_measurement_0314|live_measurement_0427
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19366,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.144062,-43.736643,AU migrant,migrant,AU migrant,AU,F,266429,PTT revealed this bird leaving Tasman Valley to stage at the Waitaki River gorge (Central Otago) for several weeks in early March before migrating to the Aire River Mouth (Victoria) for a week then moving to the mud flats near Robbins Island (Tasmania) where it stayed from early April to early October,-13.6699580427845,10.7163868306164,-3.06216382712083,live_pheno_016|live_pheno_033,live_measurement_0239|live_measurement_0240|live_measurement_0429,live_measurement_0239|live_measurement_0240|live_measurement_0429
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19368,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",173.0307,-41.11812,AU migrant,migrant,AU migrant,AU,M,266379,"PTT revealed this bird leaving Tasman Valley in mid-March, but bailing and returning to the South Island and staging at the intersection of the Maraura and Waikaia Rivers for 2 weeks. Then it tried again to migrate but bailed and returned to the same staging spot for 2 weeks. 3rd attempt succefully landed at the beaches near Piccaninny Creek Mouth (Tasmania)",-23.9349596678529,11.5187906958187,2.60262477330125,live_pheno_017|live_pheno_034,live_measurement_0243|live_measurement_0244|live_measurement_0431,live_measurement_0243|live_measurement_0244|live_measurement_0431
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19371,Motueka Spit,"Motueka Spit, Tasman Bay","South Island, New Zealand",173.031797,-41.120263,resident,resident,resident,non_AU,F,266432,PTT revealed that the bird remained at Motueka Spit the full year,-12.4035084505378,13.4932655104738,-22.0604717762451,live_pheno_083|live_pheno_105,live_measurement_0247|live_measurement_0248|live_measurement_0433,live_measurement_0247|live_measurement_0248|live_measurement_0433
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19907,Te Anau,"Te Anau, Southland","South Island, New Zealand",167.746751,-45.414278,resident,resident,resident,non_AU,F,NA,Resighting at Upukeroa River on Feb 18 (potential resident),-22.1134454329775,11.3039454995212,-14.3435048647567,live_pheno_084|live_pheno_106,live_measurement_0259|live_measurement_0260|live_measurement_0439,live_measurement_0259|live_measurement_0260|live_measurement_0439
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19908,Te Anau,"Te Anau, Southland","South Island, New Zealand",167.745905,-45.414044,resident,resident,resident,non_AU,F,NA,Resighting at Upukeroa River on Jul 25 (potential resident),-17.4723366032384,10.1721944967357,-10.3039561166372,live_pheno_085|live_pheno_107,live_measurement_0263|live_measurement_0264|live_measurement_0441,live_measurement_0263|live_measurement_0264|live_measurement_0441
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19915,Tiwai Point,"Tiwai Point, Canterbury","South Island, New Zealand",168.430146,-46.605879,SI migrant,migrant,NZ migrant,non_AU,M,266406,PTT revealed that the bird left the breeding grounds at Tiwai Point but went to a from Ruapuke Island off shore for much of the winter,-26.9150664294187,11.5217746568784,-12.6838579153021,live_pheno_058|live_pheno_068,live_measurement_0267|live_measurement_0268|live_measurement_0443,live_measurement_0267|live_measurement_0268|live_measurement_0443
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19921,Tiwai Point,"Tiwai Point, Canterbury","South Island, New Zealand",168.431945,-46.606263,resident,resident,resident,non_AU,F,266449,PTT revealed that the bird remained at the Awarua Bay / Tiwai Point the full year,-23.3146109134045,8.23046560804341,-16.7283140923567,live_pheno_086|live_pheno_108,live_measurement_0271|live_measurement_0272|live_measurement_0445,live_measurement_0271|live_measurement_0272|live_measurement_0445
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP19922,Tiwai Point,"Tiwai Point, Canterbury","South Island, New Zealand",168.431945,-46.606263,resident,resident,resident,non_AU,M,266453,PTT revealed that the bird remained at the Awarua Bay / Tiwai Point the full year,-24.0930877817319,5.26440831471433,-20.3315138841851,live_pheno_087|live_pheno_109,live_measurement_0275|live_measurement_0276|live_measurement_0447,live_measurement_0275|live_measurement_0276|live_measurement_0447
